ano,id_municipio,media
2011,4304655,206.03
2011,4323507,234.97
2011,2108454,178.44
2011,2507101,184.74
2011,3537404,219.81
2011,2305266,184.09
2011,5205109,232.99
2011,2202083,199.93
2011,2602001,190.56
2011,2303956,198.18
2011,1100148,216.44
2011,1707207,188.76
2011,2923308,211.66
2011,2708402,186.89
2011,3148608,214.95
2011,1301308,201.5
2011,4323002,222.23
2011,4304853,249.17
2011,1721109,199.23
2011,2105005,182.07
2011,2501609,207.57
2011,3534005,219.47
2011,2108801,179.61
2011,2706901,191.67
2011,2706802,197.2
2011,3101706,221.93
2011,2506400,178.79
2011,1301852,195.53
2011,3102803,227.77
2011,4211892,203.97
2011,3202553,205.61
2011,4308706,231.84
2011,5214002,209.69
2011,3531506,236.22
2011,3300159,216.93
2011,2406304,196.3
2011,5007802,220.39
2011,2307908,218.34
2011,2202117,190.19
2011,4310330,222.78
2011,4210035,229.19
2011,1505494,187.03
2011,4319158,234.91
2011,4205308,221.42
2011,1720101,174.99
2011,2313203,202.79
2011,2929404,208.04
2011,4201703,228.56
2011,4310603,213.93
2011,4106852,220.34
2011,1502764,192.69
2011,2201150,192.99
2011,3129509,235.32
2011,4312906,220.87
2011,5102850,185.35
2011,2401206,182.13
2011,4315909,231.48
2011,2708808,208.55
2011,2204501,193.54
2011,2412005,197.3
2011,3106606,211.03
2011,4307559,232.28
2011,1500701,188.69
2011,3119609,224.89
2011,3527900,217.09
2011,2210938,215.15
2011,2600302,209.34
2011,3143153,205.63
2011,1507151,186.81
2011,4207684,177.88
2011,5105309,188.2
2011,4211876,259.65
2011,3507753,224.15
2011,1303908,169.87
2011,4212403,230.72
2011,2905800,206.23
2011,3153707,222.53
2011,2412104,228.13
2011,4311106,228.99
2011,3112703,199.45
2011,2507903,178.38
2011,2210003,194.35
2011,2306009,200.83
2011,2109304,172.16
2011,3135357,206.54
2011,2511202,186.85
2011,2602100,198.11
2011,2513406,193.78
2011,2102804,194.48
2011,2912400,194.28
2011,2925600,208.24
2011,2906709,210.52
2011,4118600,224.34
2011,5203939,216.65
2011,2202208,210.62
2011,4208807,218.05
2011,2512507,190.4
2011,1400282,195.06
2011,2203354,195.25
2011,5004304,213.97
2011,5006002,213.0
2011,5213053,197.44
2011,2700201,197.42
2011,2104909,189.23
2011,3113701,218.3
2011,2105104,183.18
2011,2616100,196.53
2011,4112959,211.37
2011,3200409,228.22
2011,2913200,194.75
2011,2804458,188.94
2011,2200202,220.23
2011,3517307,211.06
2011,5102694,174.56
2011,2908002,217.57
2011,5008008,214.78
2011,3543709,210.4
2011,5206404,233.14
2011,2405207,195.14
2011,2615409,204.29
2011,5213004,215.05
2011,2703809,175.13
2011,2914406,196.44
2011,2201945,187.2
2011,4205431,212.21
2011,2114007,200.3
2011,2908309,199.31
2011,2606903,204.2
2011,3546603,233.28
2011,2202851,196.49
2011,2112407,197.24
2011,1504505,193.7
2011,2910404,204.91
2011,2909406,204.07
2011,4322525,210.99
2011,2930402,189.83
2011,2501807,203.39
2011,5101258,208.99
2011,2205607,187.91
2011,5200100,222.34
2011,2513901,220.43
2011,4315750,243.42
2011,2911600,190.48
2011,2500775,202.72
2011,2301802,202.65
2011,3520608,209.27
2011,2202737,194.41
2011,2108405,188.7
2011,4213005,225.18
2011,3132909,234.86
2011,2921708,219.73
2011,4107405,225.52
2011,5106299,213.57
2011,2308351,226.52
2011,2925303,212.19
2011,5000203,217.28
2011,3107505,239.3
2011,2706307,205.32
2011,4312302,204.45
2011,2601003,200.65
2011,3305901,225.46
2011,2507408,208.77
2011,1502152,195.97
2011,5205497,216.8
2011,4119608,215.31
2011,2700300,207.81
2011,4212106,223.04
2011,2109601,186.19
2011,2102325,201.88
2011,2933604,186.41
2011,2112506,199.29
2011,2302057,203.2
2011,2916500,193.13
2011,3301108,218.06
2011,1502855,187.34
2011,3518800,227.84
2011,1301902,222.65
2011,3303708,231.42
2011,2932457,195.74
2011,2600104,215.18
2011,2931905,202.1
2011,1702109,224.76
2011,3302502,219.88
2011,1506195,200.31
2011,2923035,200.75
2011,3539806,234.32
2011,2609600,216.4
2011,5211909,219.63
2011,5108600,215.75
2011,2510808,211.03
2011,3132701,211.76
2011,3550605,241.41
2011,4102000,224.8
2011,4118501,225.18
2011,4320800,236.88
2011,1200708,197.65
2011,3136009,221.55
2011,5209952,218.37
2011,3141801,228.22
2011,2310407,211.58
2011,2615607,210.06
2011,2924900,193.13
2011,2914604,201.68
2011,5006606,226.72
2011,3533403,245.45
2011,1501956,179.03
2011,3205200,228.58
2011,2310902,212.14
2011,4108650,206.24
2011,5108501,201.93
2011,4311007,212.42
2011,5103254,195.78
2011,1101492,206.07
2011,3512407,235.81
2011,4108908,215.44
2011,5200258,202.85
2011,5002308,215.62
2011,3137304,208.91
2011,1100379,210.05
2011,5000807,189.0
2011,4203154,203.4
2011,4319802,231.1
2011,1100114,207.48
2011,1703800,192.21
2011,2905206,221.63
2011,3304524,236.21
2011,4211504,227.84
2011,4113809,215.17
2011,4121257,213.45
2011,3151909,226.34
2011,3304706,230.06
2011,3543105,222.24
2011,3143500,246.44
2011,3110509,222.8
2011,3132503,243.28
2011,4303509,220.33
2011,4110904,203.64
2011,5000906,207.42
2011,5209200,205.65
2011,3149309,242.28
2011,3538303,231.23
2011,2401008,202.72
2011,5219738,205.39
2011,2503100,228.16
2011,3513900,233.05
2011,3503901,205.01
2011,3148202,226.14
2011,4116950,223.03
2011,1708254,205.14
2011,1709302,219.27
2011,3135209,206.28
2011,2412807,205.29
2011,1720499,218.39
2011,3547908,227.63
2011,5213806,222.09
2011,4321105,225.32
2011,3548005,224.23
2011,4111407,221.0
2011,1400308,186.17
2011,5207600,221.49
2011,4205902,221.01
2011,3150000,212.72
2011,4109500,197.44
2011,4313201,238.61
2011,3531407,240.88
2011,3163904,245.94
2011,3202306,223.25
2011,3507100,227.11
2011,4320701,233.55
2011,4318606,218.65
2011,2313955,197.44
2011,5217203,221.22
2011,4126306,217.16
2011,5103858,202.25
2011,3502507,246.67
2011,3525904,246.94
2011,2510907,210.96
2011,3131000,237.07
2011,4311122,201.63
2011,1400472,187.95
2011,4217006,217.1
2011,4108809,220.02
2011,4107553,204.14
2011,2910008,211.57
2011,4117107,219.13
2011,5105580,200.25
2011,2309201,213.25
2011,4321907,230.58
2011,3304003,235.82
2011,4116307,219.69
2011,4217808,220.77
2011,3153202,229.96
2011,3106705,236.87
2011,3527108,205.16
2011,3136579,205.57
2011,5003306,223.4
2011,3102704,217.86
2011,4318481,217.36
2011,2205201,199.72
2011,3171154,222.56
2011,3302601,228.78
2011,3548500,236.45
2011,4315800,225.44
2011,4318424,225.58
2011,3526209,215.21
2011,2208403,222.87
2011,4207908,223.55
2011,4216305,239.75
2011,3155702,226.88
2011,3159803,229.17
2011,3549706,229.76
2011,4107207,235.92
2011,3540408,228.15
2011,3148806,233.32
2011,2204808,210.53
2011,4115358,233.71
2011,3531001,231.76
2011,3139805,217.55
2011,2800308,216.99
2011,3151701,254.46
2011,4100509,214.67
2011,3530706,250.61
2011,2918100,218.76
2011,4207650,246.08
2011,3131307,249.33
2011,4104303,234.44
2011,1200427,176.65
2011,4304200,211.5
2011,2407609,175.4
2011,2900603,186.55
2011,2203107,206.51
2011,3304110,226.85
2011,4307203,256.08
2011,1304203,201.04
2011,4303202,241.35
2011,2903409,182.24
2011,3157336,208.22
2011,3145877,221.46
2011,2926657,183.66
2011,4215653,215.4
2011,1720978,218.15
2011,4321857,237.23
2011,2104404,179.53
2011,2100808,176.0
2011,2612000,210.68
2011,2514701,197.78
2011,2206670,195.29
2011,2205599,191.13
2011,3500303,226.1
2011,2907905,210.86
2011,3126703,198.38
2011,1100254,213.22
2011,2110708,187.95
2011,4219507,237.96
2011,3527405,240.13
2011,2910859,175.0
2011,1709807,213.01
2011,2926806,206.03
2011,4305173,216.46
2011,2202539,192.94
2011,3200359,230.44
2011,2513109,186.57
2011,2906501,214.64
2011,4300034,224.46
2011,1400100,230.02
2011,5212253,219.52
2011,3519253,222.29
2011,2513000,194.76
2011,3305158,229.02
2011,2211308,200.36
2011,3540259,213.49
2011,2702405,209.12
2011,5202155,200.05
2011,5102603,197.23
2011,2401305,192.14
2011,2106201,200.93
2011,2405306,187.82
2011,3124807,223.13
2011,5200308,223.54
2011,4321402,218.5
2011,2505352,191.13
2011,5107354,184.83
2011,3300951,244.27
2011,3170529,210.63
2011,2922409,204.56
2011,2209302,194.53
2011,1707702,181.98
2011,2202901,180.09
2011,3105301,228.14
2011,4214805,219.68
2011,2515708,202.89
2011,3125804,223.18
2011,2205300,197.33
2011,4219408,219.68
2011,4119707,215.88
2011,3541653,221.28
2011,2413359,197.05
2011,2911402,188.17
2011,2904902,193.36
2011,2611705,203.37
2011,2410900,186.01
2011,1600253,176.16
2011,1300201,187.5
2011,2101004,191.63
2011,4202156,222.21
2011,2616506,197.27
2011,2404705,183.14
2011,5100300,210.02
2011,4305871,223.12
2011,4116802,197.65
2011,1505700,200.3
2011,1100502,200.99
2011,4318465,209.17
2011,4120358,223.57
2011,4317905,224.12
2011,2202802,204.97
2011,1101435,222.21
2011,2206407,201.6
2011,1101104,204.39
2011,5218003,206.71
2011,2312502,211.2
2011,5105150,221.03
2011,2704609,192.47
2011,2604155,183.71
2011,3521903,240.08
2011,3543501,209.13
2011,5204102,214.01
2011,4218954,214.97
2011,2201705,182.3
2011,2516755,198.68
2011,2403400,198.03
2011,3554805,234.94
2011,4113254,185.6
2011,3504008,247.77
2011,4308102,237.14
2011,5006259,229.14
2011,3112901,222.16
2011,3528205,226.93
2011,2610400,196.71
2011,2801108,179.88
2011,2109700,187.13
2011,2709301,200.16
2011,5215801,199.5
2011,2702009,205.88
2011,5204656,216.42
2011,2111706,180.99
2011,3152170,211.22
2011,2209104,210.92
2011,2805208,191.88
2011,2605301,193.24
2011,2806206,193.34
2011,4107702,198.81
2011,3542602,206.74
2011,1700707,222.83
2011,2208551,203.54
2011,2402907,187.71
2011,3149952,200.67
2011,3541901,219.25
2011,2930907,177.94
2011,3537602,243.28
2011,2403756,183.91
2011,3167301,252.03
2011,2503753,209.84
2011,4125902,214.71
2011,1703008,177.19
2011,3156809,205.65
2011,2909109,195.92
2011,2903276,197.31
2011,2611101,225.2
2011,2301901,219.68
2011,2917508,197.53
2011,5204508,219.21
2011,2306256,215.74
2011,3303203,221.04
2011,2924504,195.72
2011,2930766,197.45
2011,2112233,208.19
2011,5201405,221.89
2011,2207009,224.47
2011,2506301,207.93
2011,3162955,234.68
2011,2616001,204.63
2011,2916302,193.6
2011,1705508,225.49
2011,2602902,204.13
2011,3514007,218.41
2011,3538808,222.82
2011,3519600,223.83
2011,4107736,209.96
2011,4311809,225.44
2011,3202108,211.78
2011,3538204,221.44
2011,2312700,203.65
2011,3126505,222.37
2011,4306502,248.76
2011,3130408,216.63
2011,4209102,246.69
2011,3205309,228.77
2011,2313252,208.88
2011,3510609,219.27
2011,1200104,220.32
2011,3506508,245.75
2011,2307254,236.31
2011,5102793,213.77
2011,3555406,223.19
2011,2612703,205.92
2011,3167103,200.04
2011,3505807,227.75
2011,2800605,183.41
2011,2204204,210.22
2011,3203106,213.63
2011,1303007,199.45
2011,3305208,225.59
2011,3203700,225.57
2011,2205102,202.77
2011,3541109,209.37
2011,3301009,205.47
2011,2917706,206.78
2011,3170305,182.6
2011,2912905,214.86
2011,2300408,207.36
2011,3201209,233.84
2011,4310538,225.02
2011,1702554,204.03
2011,3162401,214.16
2011,3546702,228.06
2011,3300407,224.29
2011,1100122,225.1
2011,3146107,238.51
2011,3539707,204.68
2011,3104700,206.27
2011,4302352,245.62
2011,5218102,223.74
2011,3142304,228.93
2011,3132305,218.22
2011,5104526,222.44
2011,3515707,221.69
2011,3506003,240.94
2011,5214051,210.87
2011,2601409,183.32
2011,4117206,239.83
2011,1300706,211.93
2011,4313508,225.97
2011,4102901,226.06
2011,3137700,227.41
2011,1100924,205.02
2011,4206751,233.94
2011,4120903,214.39
2011,5103106,195.96
2011,5214903,215.44
2011,4209300,216.95
2011,3130051,213.06
2011,3544905,218.78
2011,3109303,206.12
2011,3505104,206.24
2011,3544509,234.1
2011,5004502,213.3
2011,3509502,232.13
2011,3539301,251.82
2011,3523602,216.69
2011,4214706,233.82
2011,4212908,228.07
2011,3531803,236.01
2011,4317400,234.06
2011,2603900,211.63
2011,4125605,222.13
2011,3502804,243.23
2011,4210605,231.45
2011,3540606,229.01
2011,3536505,224.35
2011,3145208,230.38
2011,4316501,234.38
2011,5209101,217.75
2011,3126802,218.06
2011,3302007,218.56
2011,3540101,223.0
2011,3169059,248.76
2011,4316907,239.04
2011,4321329,237.57
2011,3138674,223.59
2011,4208609,215.95
2011,3556701,254.59
2011,4126504,211.92
2011,4123501,230.73
2011,3111606,231.31
2011,5218508,228.16
2011,4207007,224.47
2011,4216701,238.42
2011,4313409,237.09
2011,4321501,227.35
2011,3509304,231.99
2011,3546405,237.42
2011,3142205,223.86
2011,3507605,233.13
2011,4121802,229.95
2011,3152303,237.84
2011,3148103,235.6
2011,3162906,248.81
2011,4321808,238.36
2011,5210901,225.89
2011,3300704,239.06
2011,1716307,194.25
2011,5103452,203.54
2011,2613107,191.12
2011,2512804,194.63
2011,1703826,206.06
2011,2111052,188.68
2011,2303501,217.75
2011,2206605,194.0
2011,4318440,258.83
2011,2506806,184.5
2011,2501104,193.27
2011,2110302,184.58
2011,3145059,227.03
2011,2409902,182.69
2011,2414506,195.21
2011,1304062,178.73
2011,1714880,183.16
2011,2101731,176.05
2011,3112406,247.89
2011,2505279,198.63
2011,1200344,211.88
2011,2103158,173.0
2011,2700508,167.51
2011,4128708,233.29
