ano,id_municipio,media
2011,2503308,208.77
2011,2501906,210.58
2011,4314068,229.6
2011,2106359,198.39
2011,2922201,203.67
2011,2202307,199.92
2011,2107209,183.71
2011,2211506,192.23
2011,2103554,182.77
2011,1301506,227.12
2011,2904001,196.48
2011,2106102,196.75
2011,4311106,246.89
2011,3526407,241.2
2011,2409100,200.86
2011,3522653,213.94
2011,2102374,186.34
2011,2802106,222.4
2011,5207907,210.89
2011,2923605,228.27
2011,4106001,212.03
2011,2700805,204.58
2011,1706506,213.74
2011,2108405,194.37
2011,2706505,192.59
2011,2917334,196.53
2011,3154903,248.27
2011,3302809,243.56
2011,1100080,214.63
2011,2110278,186.06
2011,3508306,233.96
2011,4307864,255.18
2011,4123303,220.64
2011,1507961,190.16
2011,3517109,246.35
2011,2400802,216.5
2011,2911659,212.87
2011,3507159,233.04
2011,2402808,202.41
2011,4311601,151.96
2011,2909109,206.05
2011,2602605,217.04
2011,2209302,206.29
2011,2705101,191.23
2011,4100509,240.65
2011,2707107,199.75
2011,2205003,202.62
2011,2414001,196.75
2011,2102408,161.15
2011,2701100,196.42
2011,5219357,237.04
2011,2208908,200.28
2011,2313708,219.97
2011,2904902,199.67
2011,5215603,227.4
2011,3168804,248.26
2011,2912400,209.48
2011,5210109,263.25
2011,1600154,200.52
2011,2206902,208.14
2011,1101450,211.23
2011,1302009,208.69
2011,2603306,218.13
2011,2504702,219.25
2011,5100607,238.27
2011,1600402,190.96
2011,5106455,216.36
2011,4218509,261.37
2011,2303659,187.61
2011,2807204,198.82
2011,2609105,200.66
2011,2314003,209.93
2011,4315701,241.14
2011,2107100,194.01
2011,3538105,254.01
2011,4202099,250.65
2011,5107883,195.34
2011,1502400,205.37
2011,2208650,192.93
2011,5200159,206.59
2011,1101757,216.35
2011,1302801,204.23
2011,3201100,223.33
2011,2615102,234.92
2011,2514404,209.13
2011,4213302,205.89
2011,5222054,234.13
2011,2610707,201.74
2011,2703700,188.56
2011,2924603,210.33
2011,2804508,216.19
2011,4108908,226.31
2011,2401503,216.12
2011,2505709,203.08
2011,2101350,193.38
2011,2913408,228.79
2011,2914307,189.32
2011,4314464,219.22
2011,1718451,225.85
2011,4203253,223.95
2011,2922755,204.52
2011,4215307,233.9
2011,3541802,211.34
2011,2911907,209.53
2011,2303303,209.63
2011,2916906,204.58
2011,2603801,204.36
2011,4306908,231.41
2011,5104500,204.08
2011,4100301,228.72
2011,3531001,249.5
2011,3145802,238.63
2011,2608453,205.32
2011,1710706,196.77
2011,4304002,235.58
2011,2502052,214.85
2011,4311130,262.97
2011,2930808,215.89
2011,5203962,213.7
2011,4314506,249.54
2011,4201653,231.28
2011,2413607,188.93
2011,5215231,222.62
2011,2605608,217.58
2011,5106232,232.18
2011,2504033,190.05
2011,2208106,207.67
2011,2918209,227.05
2011,5003256,240.23
2011,3149952,208.76
2011,2413508,210.99
2011,2414753,206.94
2011,2915304,208.26
2011,2201988,188.88
2011,2507309,216.16
2011,5204904,217.69
2011,2701704,188.07
2011,5107701,204.9
2011,3524303,264.75
2011,2200103,226.74
2011,3163508,252.18
2011,5107107,224.6
2011,2202075,207.61
2011,3529708,225.35
2011,2112704,201.05
2011,2708808,215.89
2011,2928802,209.0
2011,3555406,232.11
2011,3305208,238.81
2011,2512101,225.98
2011,2105401,200.06
2011,2925956,198.87
2011,2605202,199.13
2011,2108603,202.36
2011,4300604,235.44
2011,2908408,240.38
2011,2919157,207.75
2011,2208403,235.66
2011,1600055,194.7
2011,5101258,222.3
2011,2908606,209.53
2011,2102036,195.25
2011,5103353,207.44
2011,2904050,210.07
2011,2607653,199.67
2011,3305554,226.78
2011,2806008,225.25
2011,2100477,200.28
2011,4215000,236.03
2011,4217501,260.33
2011,2307601,220.23
2011,4303509,236.31
2011,2902500,193.45
2011,2111607,207.77
2011,4211306,232.64
2011,2311504,210.79
2011,1505601,205.0
2011,2312304,211.01
2011,1707009,216.84
2011,2516102,209.36
2011,2611804,214.6
2011,2105476,192.62
2011,4216909,243.57
2011,2707503,186.51
2011,2106755,203.67
2011,2915502,216.3
2011,2311306,210.87
2011,2924009,244.58
2011,4320701,246.72
2011,3531308,259.53
2011,2607901,210.75
2011,3516200,262.25
2011,2604700,208.21
2011,2601003,213.58
2011,2207009,243.97
2011,4121307,234.26
2011,2407401,210.58
2011,2905107,206.76
2011,3119955,269.94
2011,3537800,230.83
2011,1508084,213.69
2011,2408102,229.74
